first_name,last_name,complete_name
Michael,Scott,Michael Scott
Jim,Halpert,Jim Halpert
Dwight,Schrute,Dwight Schrute
Pam,Beesly,Pam Beesly
Ryan,Howard,Ryan Howard
Kelly,Kapoor,Kelly Kapoor
Angela,Martin,Angela Martin
Kevin,Malone,Kevin Malone
Oscar,Martinez,Oscar Martinez
Andy,Bernard,Andy Bernard
Stanley,Hudson,Stanley Hudson
Phyllis,Lapin,Phyllis Lapin
Toby,Flenderson,Toby Flenderson
Erin,Hannon,Erin Hannon
Gabe,Lewis,Gabe Lewis
Darryl,Philbin,Darryl Philbin
Creed,Bratton,Creed Bratton
Jo,Bennett,Jo Bennett
Holly,Flax,Holly Flax
Jan,Levinson,Jan Levinson
Todd,Packer,Todd Packer
Charles,Miner,Charles Miner
Deangelo,Vickers,Deangelo Vickers
Josh,Porter,Josh Porter
Ed,Truck,Ed Truck
David,Wallace,David Wallace
